frame,vehicle_count
1,15
2,15
3,15
4,14
5,16
6,18
7,17
8,16
9,14
10,16
11,15
12,15
13,13
14,19
15,17
16,17
17,16
18,15
19,14
20,15
21,15
22,16
23,16
24,14
25,14
26,16
27,17
28,17
29,18
30,17
31,17
32,15
33,15
34,14
35,14
36,14
37,13
38,15
39,15
40,15
41,14
42,16
43,15
44,18
45,17
46,18
47,16
48,16
49,15
50,15
51,17
52,13
53,13
54,13
55,13
56,13
57,10
58,14
59,12
60,13
61,16
62,13
63,12
64,13
65,13
66,14
67,13
68,14
69,12
70,14
71,13
72,12
73,12
74,14
75,9
76,9
77,11
78,11
79,12
80,12
81,13
82,13
83,12
84,12
85,12
86,11
87,11
88,11
89,11
90,12
91,11
92,13
93,12
94,12
95,12
96,12
97,13
98,12
99,12
100,14
101,13
102,13
103,15
104,14
105,14
106,14
107,14
108,15
109,16
110,15
111,14
112,17
113,18
114,19
115,21
116,17
117,17
118,18
119,18
120,20
121,16
122,18
123,16
124,18
125,14
126,14
127,12
128,14
129,12
130,13
131,14
132,14
133,15
134,15
135,16
136,15
137,16
138,15
139,15
140,17
141,14
142,16
143,13
144,13
145,13
146,14
147,14
148,12
149,14
150,13
151,12
152,12
153,12
154,13
155,12
156,13
157,13
158,13
159,13
160,14
161,14
162,14
163,12
164,13
165,14
166,14
167,13
168,14
169,13
170,14
171,14
172,13
173,13
174,13
175,13
176,16
177,15
178,15
179,15
180,16
181,16
182,16
183,16
184,16
185,15
186,14
187,13
188,12
189,13
190,14
191,11
192,11
193,11
194,13
195,13
196,12
197,14
198,14
199,13
200,12
201,13
202,16
203,16
204,15
205,13
206,13
207,13
208,13
209,18
210,16
211,14
212,11
213,11
214,13
215,14
216,12
217,14
218,17
219,16
220,14
221,14
222,17
223,15
224,16
225,15
226,16
227,16
228,15
229,14
230,13
231,14
232,14
233,15
234,13
235,13
236,14
237,15
238,16
239,13
240,14
241,14
242,14
243,13
244,14
245,13
246,14
247,15
248,15
249,15
250,13
251,13
252,15
253,14
254,15
255,14
256,13
257,15
258,15
259,15
260,15
261,15
262,13
263,16
264,15
265,12
266,14
267,12
268,14
269,14
270,15
271,15
272,14
273,12
274,15
275,15
276,16
277,14
278,16
279,13
280,14
281,14
282,12
283,15
284,14
285,15
286,17
287,16
288,16
289,15
290,15
291,14
292,15
293,17
294,16
295,14
296,18
297,18
298,18
299,16
300,17
301,17
302,16
303,18
304,17
305,16
306,15
307,17
308,16
309,14
310,16
311,13
312,12
313,15
314,18
315,17
316,16
317,17
318,15
319,13
320,13
321,12
322,14
323,14
324,15
325,15
326,16
327,15
328,16
329,19
330,19
331,17
332,18
333,17
334,17
335,19
336,18
337,18
338,17
339,17
340,19
341,17
342,15
343,14
344,13
345,11
346,11
347,11
348,12
349,12
350,12
351,11
352,11
353,11
354,12
355,14
356,15
357,12
358,12
359,11
360,11
361,11
362,12
363,13
364,13
365,13
366,11
367,11
368,11
369,12
370,14
371,14
372,13
373,12
374,12
375,11
376,12
377,10
378,12
379,12
380,12
381,14
382,14
383,14
384,13
385,12
386,14
387,15
388,16
389,15
390,16
391,15
392,15
393,15
394,16
